Clusterid,ParentClusterid,ClusterName,Document Count
1,1,"nsf format, eric bass, original message, natural gas combined cycle, natural gas",1
2,1,"majeure event, gas curtailment conditions, value, value chain, bob mcauliffe",1104
3,1,"eric bass, draft decision, supplier, offline permission, payee",1004
4,1,"eric bass, dutch, enron corp, structured initiatives, market participants",1022
5,1,"eric bass, duke energy north america, electronic format, transaction information, transaction data feed survey",1011
6,1,"financial gas, second quarter, amazon, central gas, texas gas",956
7,1,"eric bass, stakeholders, system development, net open position, notice",964
8,1,"agua dulce, eric bass, applewhite, net open position, enron metals",995
9,1,"jennifer white, payee, reliability, operational output limitations, barbara lewis",969
10,1,"eric bass, ceiling fan, guaranty, credit support provider, enron north america corp",981
11,1,"offline permission, forward curve, federal energy regulatory commission, goldman sachs, market participants",993
12,12," original message,  enron communications,  eugenio perez,  baughman,  sally",1
13,12,"doug gilbert, total travel expense, subtotal, unrealized budget, monthly trade volume",1108
14,12,"tim poullain, beth apollo, risk mgmt trans supt, book administrator, energy ops global counterparty",999
15,12,"governor george, summer pool, bryan hull, mgl inc, daniel",966
16,12,"tokyo, last four weeks, dynegy, circuit breakers, michael",1020
17,12,"christopher watts, christina, original message, kayne coulter, melissa ann murphy",987
18,12,"trading groups, risk controls, network resources, transmission customer, logistics",939
19,12,"wall street journal, enron announcements, last four weeks, hourly, inc smith day",950
20,12,"southwest airlines, global products, original, firm basis, original message",1043
21,12,"enron announcements, curve, trading groups, foreign exchange, jacqueline coleman",970
22,12,"enron announcements, brian hoskins, old method, back office, rika imai",1018
23,23," mike jordan,  blair,  eugenio perez,  enron global markets,  enron",1
24,23,"prometheus file, nng scheduling rep, nng customer accounting rep, fgt scheduling rep, ect resources",1125
25,23,"likki mudd, ted murphy, miss likki mudd, survey, operational risk",953
26,23,"bid response form, equity trading, western region, new york city, service provider",1018
27,23,"robert, outlook migration team, customer service, ice trading system, commodity type",971
28,23,"credit approval, panama city, patti thompson, perry gas, sao paulo",992
29,23,"panama city, ebs trading americas, ebs trading operations, standard rate schedule, module",989
30,23,"continental pwr, sitara bridge, resolver con agustin, new contract req notif, niagara mohawk power corp",979
31,23,"eas leader, industry canada, risk management policy, action step, sao paulo",1005
32,23,"feedback, valuations, patti thompson, expense report, settlements",1018
33,23,"mary solmonson, enron north america corp, local currency exposure, forum, enron net works",950
34,34," hinkley compressor station,  transport,  available,  update,  outlook migration team",1
35,34,"total regional mwe, route, mahonia natural gas, natural gas, risk pool",1051
36,34,"aol link, larry campbell, group, outlook migration team, southern california gas company",1038
37,34,"aol link, hydrostatic test water, issue permit, outlook migration team, microsoft office user",1019
38,34,"sweet natural gas, gerry, tas ppa, final gva, prometheus file",990
39,34,"sharon, dpr report, martin, midland, capacity",977
40,34,"settlement base rates, mkt schedule, equity asset description, guaranty agreement, sandra",956
41,34,"duke energy field services, buchanan, transwestern, total receipts, karen",997
42,34,"quick inspirations, ted murphy, wes colwell, prometheus file, terry",1050
43,34,"emissions compliant operating ranges, quick inspirations, shipping, outlook migration team, compressor",958
44,34,"adams, heathman, central standard time, eott tanks, lynn blair",964
45,45," outages,  william kendrick,  liquid,  enron communications,  unforced capacity",1
46,45,"enron, compressor station, control area, kern river intake header, hinkley compressor station",1214
47,45,"larry campbell, larry, channel, scott, suppliers",974
48,45,"net works, enron group, jarda, flowgates, proxy generator bus",970
49,45,"system upgrade facilities, beastie boys, excess capacity, datek online execution report, flowgates",992
50,45,"larry campbell, energy, diamonds, counterparty, permanent replacement turbine",972
51,45,"margin call, liq oregon analytical, pig trap, golden shores, cross media",956
52,45,"environmental compliance deficiencies, locality, rick suderman, stock options, transmission provider",995
53,45,"larry campbell, kansas state, datek online execution report, texaco, scott jones",978
54,45,"larry campbell, plan participants, mike carson, carson, jay wills",1011
55,45,"market power, deviation, william kendrick, former employee, michelle cash",938
56,56," michelle cash,  enron,  gas day,  twanda sweet,  enron corp",1
57,56,"latin america, international paper, market pulp capacity, europe, grade asia",1706
58,56,"refund effective date, louis, transwestern, theresa, janikowski",898
59,56,"refund effective date, feedback, ayesha, jeff dasovich, plaintiff",911
60,56,"michelle, internet email, performance bonus, gas control, payment schedule",878
61,56,"union employees, general partner, gulf south, riskmetrics, market area",949
62,56,"cash michelle, reed wasden research, martin cuilla, rigzone, annual",956
63,56,"chief financial officer, michelle, michelle cash, robert, gas control",929
64,56,"subsidiary, paper grade pulps, ctmp paper, credit suisse first boston, green liquor corrugating medium",960
65,56,"employees, chief financial officer, credit suisse first boston, variance explanation, monika",874
66,56,"andersen, direct access service, either party, new procedure, cash michelle",939
67,67," original message,  richard shapiro,  edison, jeff dasovich,  james",1
68,67,"transmission facilities connection, transition period, utility, stipulation, electric supply",1325
69,67,"elizabeth linnell, new economy, net short, noncore customers, steve",990
70,67,"definitive agreements, rate stabilization plan, sandra mccubbin, higher prices, jeff dasovich",987
71,67,"iso wants pwr generators, filing, direct access contracts, cisco, governor",965
72,67,"agenda items, federal energy regulatory commission, harry kingerski, laird dyer, karen denne",955
73,67,"federal energy regulatory commission, replacement reserve costs, christine, stadium construction, san diego",915
74,67,"harry kingerski, primary access rights, transmission expansion plan, kimberly kupiecki, san diego gas",993
75,67,"ancillary services, federal energy regulatory commission, cameron sellers, rate freeze, new power plants",984
76,67,"energy operations management, market price, generation memorandum accounts, commission, power exchange",906
77,67,"karen denne, noncore customers, kristin albrecht, rate freeze, jeff dasovich",980
78,78," dana davis,  original message,  ercot,  smith,  delete organizer",1
79,78,"scott palmer, compliance metric day, msa final close, complilance metric day, weekly flash",1045
80,78,"miller, marnie lamb, mandola, load profile type, market participant",949
81,78,"bus pastor, enron communications, records transfer list, electrical power, dana davis",1048
82,78,"special table categories, williams, true orange, user transaction, dana davis",991
83,78,"bad data, performance, wes colwell, email address, steve",1058
84,78,"nicole, christmas gift, majeure event, super saturday, dow jones interactive",946
85,78,"george, summer interns, bible quiz, marnie lamb, dana davis",957
86,78,"enron announcements, true orange, ancillary services, ercot, ect origination black",1045
87,78,"competitive retailers, service request, third party agent, missouri, base case",966
88,78,"calpine, meter read information, variances, stacy, luis gasparini",995
89,89," enovate,  kay chapman,  guarantor,  original message,  james",1
90,89,"indemnified party, early termination date, enron north america corp, powerex, two business days",1103
91,89,"risk management, chris dorland, harris, employee, david duran",990
92,89,"harris, maharashtra electricity regulatory commission, dick westfahl, paula, dan dorland",933
93,89,"assistant general counsel, global finance, davis, jean mrha, optional redemption date",992
94,89,"condo, helfrich, reasonable efforts, aep marketing companies, davis",979
95,89,"base load capacity, public international organization, kay chapman, brian redmond, david oxley",1015
96,89,"point, gen counsel asst, kevin, greg piper, kay chapman",1030
97,89,"chris dorland, wayne mays, azurix, enron credit capacity, stephanie harris",979
98,89,"sheila walton, beverly stephens, market, justin, allegheny",968
99,89,"jacek, gom support agreement, corporate communications, mic daily withdrawal price, harris",1011
100,100," carlos,  rodriguez,  natural gas,  outages,  chris dorland",1
101,100,"jefferson, mobil waha plant, olinger, naaman, phillip",994
102,100,"copano line, enron north america corp, jackie, effective start date, transportation nomination",1072
